Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,
000561.SZ,烽火电子,6.2,陕西,国防军工,1994/5/9,0.14,0.12,0.15,0.13,0.06,0.05,0.06,0.19,0.15,-0.09,1.93,-1.03,0,1,0.136666667,0.1,2.2716,-,0,45.36585366,0,0.366666667,175.17%,-4.745852046,2.729353759,3984922395,
000563.SZ,陕国投Ａ,3.5,陕西,非银金融,1994/1/10,0.0912,0.114,0.1667,0.3654,0.2887,0.2577,0.516,0.4307,0.2274,0.1218,0.1336,0.2033,0,1,0.123966667,0.401466667,2.6274,是,1,28.23339607,24.8158542,-0.691215543,117.61%,0,1.332115399,15776771127,
000564.SZ,供销大集,1.98,陕西,商业贸易,1994/1/10,0.1269,0.2354,0.1155,0.075,0.1277,0.1345,0.1942,0.2019,0.1952,0.1804,0.21,0.08,0,1,0.159266667,0.176866667,5.1878,-,0,12.43197991,0,-0.099509989,168.45%,-7.27684141,0.381664675,13457535237,
000565.SZ,渝三峡Ａ,4.63,重庆,化工,1994/4/8,0.1,0.19,0.52,0.33,0.24,0.21,0.33,-0.92,0.2,1.17,0.14,0.16,0,1,0.27,-0.126666667,2.4882,是,1,17.14814815,12.46462226,-3.131578947,174.81%,-12.52833448,1.860782895,2111594111,
000566.SZ,海南海药,8.19,海南,医药生物,1994/5/25,0.09,0.06,0.14,0.36,0.33,0.19,0.16,0.4378,0.16,0.3048,0.205,-0.1525,0,1,0.096666667,0.2626,3.4494,-,0,84.72413793,0,-0.631886266,192.45%,-69.51916516,2.37432597,7641801390,
000567.SZ,海德股份,9.71,海南,非银金融,1994/5/25,0.3265,0.4846,0.0197,0.1537,0.041,0.018,-0.0907,0.0088,0.1714,0.0939,0.1923,0.1641,0,1,0.276933333,-0.0213,9.3656,是,1,35.06259027,17.59453048,-14.00156495,130.00%,0.136619994,1.036772871,5141934187,
000568.SZ,泸州老窖,74.3,四川,食品饮料,1994/5/9,2.38,1.798,1.375,1.05,0.63,2.46,3.14,2.08,1.58,1.2,0.91,0.8875,0,1,1.851,2.56,11.5819,是,1,40.14046461,65.1347924,-0.276953125,326.72%,-1.720407142,6.41518231,1.20E+11,
000570.SZ,苏常柴Ａ,4.22,江苏,机械设备,1994/7/1,0.11,0.08,0.11,0.13,0.11,0.13,0.1,0.09,0.21,0.41,-0.22,0.45,0,1,0.1,0.106666667,3.6398,是,1,42.2,22.62826061,-0.0625,164.87%,-64.90198214,1.159404363,2436364575,
000571.SZ,新大洲Ａ,2.64,海南,采掘,1994/5/25,-1.0788,0.0263,0.0404,0.0698,0.0976,0.1421,0.1169,0.2028,0.1845,0.1728,0.0682,0.0306,0,0,-0.337366667,0.153933333,1.6299,-,0,10000,0,-3.191641403,80.67%,2.057352114,1.619731272,1864206560,
000572.SZ,海马汽车,2.02,海南,汽车,1994/8/8,-0.9955,-0.6046,0.14,0.0988,0.1296,0.1814,0.1,0.2039,0.3126,-0.2526,0.06,0.5978,0,0,-0.4867,0.161766667,2.9698,-,0,10000,0,-4.008654441,90.71%,2.447154547,0.680180484,2927452838,
000573.SZ,粤宏远Ａ,2.74,广东,房地产,1994/8/15,0.0836,0.0569,0.3166,-0.1478,0.0225,0.1882,0.102,0.0915,0.0639,0.0328,-0.1847,0.0523,0,0,0.152366667,0.127233333,2.6106,是,1,17.9829359,74.81071133,0.197537333,310.10%,8.121503437,1.049567149,1881318752,
000576.SZ,广东甘化,6.88,广东,农林牧渔,1994/9/7,0.22,-0.64,0.23,0.4,0.02,0.09,0.15,-0.61,-0.24,0.04,-0.15,-0.09,0,0,-0.063333333,-0.123333333,2.5048,-,0,10000,0,-0.486486486,594.04%,-7.379996211,2.746726286,3188601533,
000581.SZ,威孚高科,18.93,江苏,汽车,1998/9/24,2.37,2.55,1.66,1.49,1.51,1.09,1.34,2.12,2.36,0.79,0.34,0.41,0,1,2.193333333,1.516666667,15.7727,是,1,8.630699088,50.53011544,0.446153846,280.26%,-7.630745922,1.200174986,18766480602,
